isin_no,isin_desc,liq_status,security_type
INE154A01025,ITC LIMITED - EQUITY SHARES OF RE.1/- AFTER SPLIT,0,EQ
INE786A01032,JK LAKSHMI CEMENT LIMITED - NEW EQUITY SHARES OF RS. 5/- AFTER SPLIT,0,EQ
INE0BY001018,JUBILANT INGREVIA LIMITED#EQUITY SHARES,0,EQ
INE700A01033,JUBILANT PHARMOVA LIMITED#NEW EQUITY SHARES OF RE. 1/- AFTER SPLIT,0,EQ
INF174K01336,KOTAK MAHINDRA ASSET MANAGEMENT CO LTD-KOTAK SELECT FOCUS FUND-GROWTH OPTION,0,MF
INE001B01026,KRBL LIMITED-NEW EQUITY SHARES OF RE. 1/- AFTER SUB-DIVISION,0,EQ
INE018A01030,LARSEN & TOUBRO LIMITED-EQUITY SHARES OF RS.2/- EACH,0,EQ
INE585B01010,MARUTI SUZUKI INDIA LIMITED-EQUITY SHARES,0,EQ
INF769K01DH9,MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET AGGRESSIVE HYBRID FUND-DIRECT-GROWTH,0,MF
INF769K01BI1,MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET LARGE & MIDCAP FUND-DIRECT PL-GR OPT,0,MF
INF769K01AX2,MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET LARGE CAP FUND-DIRECT-GROWTH,0,MF
INF204K01K15,NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA SMALL CAP FUND DIRECT PL DV PL-GROWTH OPT,0,MF
INE417T01026,PB FINTECH LIMITED # EQUITY SHARES,0,EQ
INF663L01DV3,PGIM INDIA AM PVT LTD#PGIM INDIA MF-PGIM INDIA MIDCAP OPPORTUNITIES FUND- DIR PL-GROWTH,0,MF
INE318A01026,PIDILITE INDUSTRIES LIMITED-EQUITY SHARES OF RE 1/- AFTER SPLIT,0,EQ
INE134E01011,POWER FINANCE CORPORATION LIMITED - EQUITY SHARES,0,EQ
INF966L01820,QUANT MONEY MANAGERS LTD#QUANT MF-QUANT LIQUID FUND-DIRECT-GROWTH,0,MF
INF966L01887,QUANT MONEY MANAGERS LTD#QUANT MF-QUANT MIDCAP FUND-DIRECT-GROWTH,0,MF
INF966L01986,QUANT MONEY MANAGERS LTD#QUANT MF-QUANT TAX PLAN-DIRECT-GROWTH,0,MF
INE343B01030,RAJESH EXPORTS LIMITED - EQUITY SHARES OF RE. 1/- AFTER SPLIT,0,EQ
IN8002A01033,RELIANCE INDUSTRIES LTD#PARTLY PAID EQ SH WITH FV RS.10/- & PAID UP VALUE RS.5/- LST/TRD APPRL AWTD,0,EQ
IN9002A01024,RELIANCE INDUSTRIES LTD#PARTLY PAID EQUITY SHARES WITH FACE VALUE RS.10/- & PAID UP VALUE RS. 2.50/-,0,EQ
INE002A01018,RELIANCE INDUSTRIES LIMITED EQUITY SHARES,0,EQ
IN9002A01032,RELIANCE INDUSTRIES LIMITED#PARTLY PAID EQUITY SHARES WITH FACE VALUE RS.10/- & PAID UP VALUE RS.5/-,0,EQ
IN8002A01017,RELIANCE INDUSTRIES LIMITED # EQUITY SHARES LISTING / TRADING APPROVAL AWAITED,0,EQ
INE775A01035,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED- RE 1/- AFTER SUB DIVISION OF SHARES-EQUITY SHARES,0,EQ
INF200K01SH3,SBI FUNDS MGNT PVT LTD#SBI MF-SBI MAGNUM GILT FUND-DIRECT PL GROWTH,0,MF
INF200K01TE8,SBI FUNDS MANAGEMENT PVT LTD#SBI MF-SBI NIFTY INDEX FUND DIRECT PL GROWTH,0,MF
INF200K01UM9,SBI FUNDS MANAGEMENT PVT LTD#SBI MF-SBI MAGNUM TAXGAIN SCHEME DIRECT PL GROWTH,0,MF
INE343H01029,SOLAR INDUSTRIES INDIA LIMITED # NEW EQ SH WITH FV RS.2/- AFTER SUB DIVISION,0,EQ
INE305H01028,SUNIL HITECH ENGINEERS LIMITED # NEW EQ SH WITH FV RE 1/- AFTER SUB DIVISION,1,EQ
INE092A01019,TATA CHEMICALS LIMITED EQUITY SHARES,0,EQ
INE467B01029,TATA CONSULTANCY SERVICES LIMITED-EQUITY SHARES 0F RE.1/- AFTER SUB DIVISION,0,EQ
INE192A01025,TATA CONSUMER PRODUCTS LIMITED#NEW EQUITY SHARES OF RE. 1/- AFTER SUB-DIVISION,0,EQ
INF277K01Z77,TATA AM PVT LTD#TATA MF-TATA DIGITAL INDIA FUND - DIR PL - GROWTH,0,MF
INF277K01MK8,TATA AM PVT LTD#TATA MF-TATA LARGE & MID CAP FUND-DIRECT-GROWTH,0,MF
INE155A01022,TATA MOTORS LTD - NEW EQUITY SHARES OF RS. 2/- AFTER SUB-DIVISION,0,EQ
INE081A01012,TATA STEEL LIMITED - EQUITY SHARES,0,EQ
INE280A01028,TITAN COMPANY LIMITED#NEW EQUITY SHARES OF RE-1/-AFTER SUB-DIVISION,0,EQ
INE205A01025,VEDANTA LIMITED#EQUITY SHARES OF RE 1/- AFTER SPLIT,0,EQ
INE540H01012,VOLTAMP TRANSFORMERS LIMITED - EQUITY SHARES,0,EQ
INE366I01010,VRL LOGISTICS LIMITED - EQUITY SHARES,0,EQ
INE976A01021,WEST COAST PAPER MILLS LIMITED - NEW EQUITY SHARES OF RS. 2/- AFTER SPLIT,0,EQ
INF209K01XU7,ADITYA BIRLA SUN LIFE AMC LTD#ABSL MF-ABSL LOW DURATION FUND-DIRAN-GROWTH,0,MF
INF209K01VA3,ADITYA BIRLA SUN LIFE AMC LTD#ABSL MF-ABSL LIQUID FUND DIRAN-GROWTH,0,MF
INF209K01XK8,ADITYA BIRLA SUN LIFE AMC LTD#ABSL MF-ABSL SHORT TERM FUND-DIRECT-GROWTH,0,MF
INE031B01049,AJANTA PHARMA LIMITED # NEW EQUITY SHARE WITH FACE VALUE RS.2/- AFTER SUB DIVISION,0,EQ
IN8031B01022,AJANTA PHARMA LIMITED # NEW EQ SH WITH FV RS.2/- AFTER SUB DIV LISTING/TRAD APPROVAL AWAITED,0,EQ
INF846K01DP8,AXIS AMC LTD#AXIS MF-AXIS BLUECHIP FUND DIRECT PLAN GROWTH,0,MF
