Date,ISIN,Symbol,Price,Source
2025-04-24,INE199C01026,ADVANIHOTR.NS,,yfinance
2025-04-24,INE837H01020,ADVENZYMES.NS,,yfinance
2025-04-24,INE208C01025,AEGISCHEM.NS,,yfinance
2025-04-24,INE00WC01019,AFFLE.NS,1598.300048828125,yfinance
2025-04-24,INE204E01012,AGARIND.NS,1026.800048828125,yfinance
2025-04-24,INE676A01019,AGCNET.NS,,yfinance
2025-04-24,INE449G01018,AGRITECH.NS,166.52000427246094,yfinance
2025-04-24,INE740V01019,AGROPHOS.NS,33.79999923706055,yfinance
2025-04-24,INE926K01017,AHLEAST.NS,,yfinance
2025-04-24,INE758C01029,AHLUCONT.NS,,yfinance
2025-04-24,INE915K01010,AHLWEST.NS,,yfinance
2025-04-24,INE212H01026,AIAENG.NS,,yfinance
2025-04-24,INE645W01026,AIRAN.NS,,yfinance
2025-04-24,INE031B01049,AJANTPHARM.NS,,yfinance
2025-04-24,INE298G01027,AJMERA.NS,,yfinance
2025-04-24,INE737W01013,AKASH.NS,,yfinance
2025-04-24,INE542B01011,AKSHARCHEM.NS,,yfinance
2025-04-24,INE523B01011,AKSHOPTFBR.NS,,yfinance
2025-04-24,INE133A01011,AKZOINDIA.NS,,yfinance
2025-04-24,INE914E01040,ALANKIT.NS,,yfinance
2025-04-24,INE155C01010,ALBERTDAVD.NS,,yfinance
2025-04-24,INE964B01033,ALCHEM.NS,,yfinance
2025-04-24,INE426A01027,ALEMBICLTD.NS,,yfinance
2025-04-24,INE062D01024,ALICON.NS,,yfinance
2025-04-24,INE773I01017,ALKALI.NS,,yfinance
2025-04-24,INE540L01014,ALKEM.NS,5201.2001953125,yfinance
2025-04-24,INE150B01021,ALKYLAMINE.NS,,yfinance
2025-04-24,INE418H01029,ALLCARGO.NS,,yfinance
2025-04-24,INE835G01018,ALLSEC.NS,,yfinance
2025-04-24,INE326B01027,ALMONDZ.NS,24.350000381469727,yfinance
2025-04-24,INE270A01029,ALOKINDS.NS,,yfinance
2025-04-24,INE385I01010,ALPA.NS,113.5,yfinance
2025-04-24,INE137C01018,ALPHAGEO.NS,,yfinance
2025-04-24,INE093B01015,ALPSINDUS.NS,,yfinance
2025-04-24,INE885A01032,AMARAJABAT.NS,,yfinance
2025-04-24,INE371P01015,AMBER.NS,6388.0,yfinance
2025-04-24,INE540G01014,AMBIKCO.NS,,yfinance
2025-04-24,INE079A01024,AMBUJACEM.NS,,yfinance
2025-04-24,INE005I01014,AMDIND.NS,51.58000183105469,yfinance
2025-04-24,INE606A01024,AMJLAND.NS,,yfinance
2025-04-24,INE098F01031,AMRUTANJAN.NS,671.6500244140625,yfinance
2025-04-24,INE242C01024,ANANTRAJ.NS,,yfinance
2025-04-24,INE666E01012,ANDHRACEMT.NS,,yfinance
2025-04-24,INE435A01028,ANDHRAPAP.NS,,yfinance
2025-04-24,INE715B01013,ANDHRSUGAR.NS,73.83999633789062,yfinance
2025-04-24,INE732I01013,ANGELBRKG.NS,,yfinance
2025-04-24,INE087B01017,ANIKINDS.NS,,yfinance
2025-04-24,INE106I01010,ANKITMETAL.NS,,yfinance
2025-04-24,INE436A01026,ANSALAPI.NS,4.480000019073486,yfinance
2025-04-24,INE880B01015,ANSALHSG.NS,,yfinance
2025-04-24,INE294Z01018,ANUP.NS,,yfinance
2025-04-24,INE372A01015,APARINDS.NS,,yfinance
2025-04-24,INE071F01012,APCL.NS,,yfinance
2025-04-24,INE116A01032,APCOTEXIND.NS,324.3500061035156,yfinance
2025-04-24,INE346W01013,APEX.NS,,yfinance
2025-04-24,INE702C01027,APLAPOLLO.NS,1629.9000244140625,yfinance
2025-04-24,INE901L01018,APLLTD.NS,,yfinance
2025-04-24,INE713T01010,APOLLO.NS,116.4000015258789,yfinance
2025-04-24,INE437A01024,APOLLOHOSP.NS,7159.5,yfinance
2025-04-24,INE126J01016,APOLLOPIPE.NS,394.1499938964844,yfinance
2025-04-24,INE438A01022,APOLLOTYRE.NS,,yfinance
2025-04-24,INE451F01024,APOLSINHOT.NS,1351.5999755859375,yfinance
2025-04-24,INE266F01018,APTECHT.NS,,yfinance
2025-04-24,INE877I01016,ARCHIDPLY.NS,,yfinance
2025-04-24,INE731A01020,ARCHIES.NS,,yfinance
2025-04-24,INE574I01035,ARCOTECH.NS,,yfinance
2025-04-24,INE610C01014,ARENTERP.NS,,yfinance
2025-04-24,INE298I01015,ARIES.NS,,yfinance
2025-04-24,INE413D01011,ARIHANT.NS,,yfinance
2025-04-24,INE643K01018,ARIHANTSUP.NS,,yfinance
2025-04-24,INE109C01017,ARMANFIN.NS,,yfinance
2025-04-24,INE210C01013,AROGRANITE.NS,,yfinance
2025-04-24,INE570D01018,ARROWGREEN.NS,,yfinance
2025-04-24,INE968D01022,ARSHIYA.NS,3.140000104904175,yfinance
2025-04-24,INE267I01010,ARSSINFRA.NS,,yfinance
2025-04-24,INE025R01013,ARTEMISMED.NS,,yfinance
2025-04-24,INE034A01011,ARVIND.NS,,yfinance
2025-04-24,INE955V01021,ARVINDFASN.NS,417.1499938964844,yfinance
2025-04-24,INE034S01021,ARVSMART.NS,698.0999755859375,yfinance
2025-04-24,INE439A01020,ASAHIINDIA.NS,701.8499755859375,yfinance
2025-04-24,INE228I01012,ASAHISONG.NS,,yfinance
2025-04-24,INE900C01027,ASAL.NS,510.7999877929688,yfinance
2025-04-24,INE073G01016,ASALCBR.NS,,yfinance
2025-04-24,INE348A01023,ASHAPURMIN.NS,370.7000122070313,yfinance
2025-04-24,INE365D01021,ASHIANA.NS,265.75,yfinance
2025-04-24,INE440A01010,ASHIMASYN.NS,,yfinance
2025-04-24,INE442H01029,ASHOKA.NS,198.0399932861328,yfinance
2025-04-24,INE208A01029,ASHOKLEY.NS,,yfinance
2025-04-24,INE363A01022,ASIANHOTNR.NS,377.7999877929688,yfinance
2025-04-24,INE021A01026,ASIANPAINT.NS,2464.39990234375,yfinance
2025-04-24,INE022I01019,ASIANTILES.NS,,yfinance
2025-04-24,INE991I01015,ASPINWALL.NS,261.7900085449219,yfinance
2025-04-24,INE563J01010,ASTEC.NS,739.0,yfinance
2025-04-24,INE914M01019,ASTERDM.NS,,yfinance
2025-04-24,INE006I01046,ASTRAL.NS,1391.300048828125,yfinance
2025-04-24,INE386C01029,ASTRAMICRO.NS,,yfinance
2025-04-24,INE203A01020,ASTRAZEN.NS,8967.5,yfinance
2025-04-24,INE646X01014,ASTRON.NS,13.630000114440918,yfinance
2025-04-24,INE209A01019,ATFL.NS,,yfinance
2025-04-24,INE399L01023,ATGL.NS,,yfinance
2025-04-24,INE285H01022,ATLANTA.NS,,yfinance
2025-04-24,INE446A01025,ATLASCYCLE.NS,87.45999908447266,yfinance
2025-04-24,INE100A01010,ATUL.NS,,yfinance
2025-04-24,INE951D01028,ATULAUTO.NS,513.1500244140625,yfinance
2025-04-24,INE949L01017,AUBANK.NS,681.0499877929688,yfinance
2025-04-24,INE132H01018,AURIONPRO.NS,,yfinance
2025-04-24,INE406A01037,AUROPHARMA.NS,,yfinance
2025-04-24,INE218C01016,AUSOMENT.NS,,yfinance
2025-04-24,INE449A01011,AUTOAXLES.NS,,yfinance
2025-04-24,INE718H01014,AUTOIND.NS,,yfinance
2025-04-24,INE448A01013,AUTOLITIND.NS,,yfinance
2025-04-24,INE349W01017,AVADHSUGAR.NS,,yfinance
2025-04-24,INE871C01038,AVANTIFEED.NS,,yfinance
2025-04-24,INE488D01021,AVTNPL.NS,,yfinance
2025-04-24,INE01BK01022,AWHCL.NS,,yfinance
2025-04-24,INE238A01034,AXISBANK.NS,,yfinance
2025-04-24,INE555B01013,AXISCADES.NS,,yfinance
2025-04-24,INE193B01039,AYMSYNTEX.NS,,yfinance
2025-04-24,INE878I01022,BAFNAPH.NS,76.91999816894531,yfinance
2025-04-24,INE116D01028,BAGFILMS.NS,6.809999942779541,yfinance
2025-04-24,INE917I01010,BAJAJ-AUTO.NS,8201.5,yfinance
2025-04-24,INE933K01021,BAJAJCON.NS,175.22999572753906,yfinance
2025-04-24,INE193E01025,BAJAJELEC.NS,,yfinance
2025-04-24,INE918I01018,BAJAJFINSV.NS,2105.0,yfinance
2025-04-24,INE306A01021,BAJAJHIND.NS,,yfinance
2025-04-24,INE118A01012,BAJAJHLDNG.NS,,yfinance
2025-04-24,INE296A01024,BAJFINANCE.NS,,yfinance
2025-04-24,INE794B01026,BALAJITELE.NS,,yfinance
2025-04-24,INE050E01027,BALAMINES.NS,,yfinance
2025-04-24,INE618N01014,BALAXI.NS,,yfinance
2025-04-24,INE875R01011,BALKRISHNA.NS,,yfinance
2025-04-24,INE787D01026,BALKRISIND.NS,2578.0,yfinance
2025-04-24,INE294A01037,BALLARPUR.NS,,yfinance
2025-04-24,INE164A01016,BALMLAWRIE.NS,197.9100036621093,yfinance
2025-04-24,INE083D01012,BALPHARMA.NS,108.88999938964844,yfinance
2025-04-24,INE119A01028,BALRAMCHIN.NS,,yfinance
2025-04-24,INE655B01011,BANARBEADS.NS,,yfinance
2025-04-24,INE459A01010,BANARISUG.NS,4135.7998046875,yfinance
2025-04-24,INE213C01025,BANCOINDIA.NS,,yfinance
2025-04-24,INE545U01014,BANDHANBNK.NS,170.72999572753906,yfinance
2025-04-24,INE863I01016,BANG.NS,,yfinance
2025-04-24,INE862Y01015,BANKA.NS,,yfinance
2025-04-24,INE028A01039,BANKBARODA.NS,252.009994506836,yfinance
2025-04-24,INE084A01016,BANKINDIA.NS,,yfinance
2025-04-24,INE629D01012,BANSWRAS.NS,,yfinance
2025-04-24,INE855F01034,BARTRONICS.NS,,yfinance
2025-04-24,INE373A01013,BASF.NS,,yfinance
2025-04-24,INE186H01014,BASML.NS,,yfinance
2025-04-24,INE176A01028,BATAINDIA.NS,,yfinance
2025-04-24,INE462A01022,BAYERCROP.NS,4981.2001953125,yfinance
2025-04-24,INE464A01028,BBL.NS,3084.0,yfinance
2025-04-24,INE050A01025,BBTC.NS,,yfinance
2025-04-24,INE425B01027,BCG.NS,,yfinance
2025-04-24,INE905P01028,BCP.NS,,yfinance
2025-04-24,INE171Z01018,BDL.NS,1429.5999755859375,yfinance
2025-04-24,INE520H01022,BEARDSELL.NS,,yfinance
2025-04-24,INE495P01012,BECTORFOOD.NS,,yfinance
2025-04-24,INE844K01012,BEDMUTHA.NS,,yfinance
2025-04-24,INE263A01024,BEL.NS,,yfinance
2025-04-24,INE258A01016,BEML.NS,,yfinance
2025-04-24,INE922A01025,BEPL.NS,115.68000030517578,yfinance
2025-04-24,INE463A01038,BERGEPAINT.NS,584.9500122070312,yfinance
2025-04-24,INE878K01010,BFINVEST.NS,,yfinance
2025-04-24,INE243D01012,BFUTILITIE.NS,,yfinance
2025-04-24,INE661I01014,BGRENERGY.NS,,yfinance
2025-04-24,INE354C01027,BHAGERIA.NS,,yfinance
2025-04-24,INE458B01036,BHAGYANGR.NS,,yfinance
2025-04-24,INE363W01018,BHAGYAPROP.NS,,yfinance
2025-04-24,INE474E01029,BHANDARI.NS,,yfinance
2025-04-24,INE465A01025,BHARATFORG.NS,,yfinance
2025-04-24,INE561C01019,BHARATGEAR.NS,80.19000244140625,yfinance
2025-04-24,INE838B01013,BHARATRAS.NS,,yfinance
2025-04-24,INE316L01019,BHARATWIRE.NS,196.47999572753903,yfinance
2025-04-24,INE397D01024,BHARTIARTL.NS,1845.5999755859373,yfinance
2025-04-24,INE257A01026,BHEL.NS,,yfinance
2025-04-24,INE412U01017,BIGBLOC.NS,,yfinance
2025-04-24,INE828A01016,BIL.NS,567.75,yfinance
2025-04-24,INE607L01029,BILENERGY.NS,,yfinance
2025-04-24,INE143A01010,BINDALAGRO.NS,,yfinance
2025-04-24,INE376G01013,BIOCON.NS,,yfinance
2025-04-24,INE829A01014,BIOFILCHEM.NS,,yfinance
